Dist.,School,DBN,Grade Level,Type of School,Principal,Arts Education Liaision,Cultural & Arts Partners,Arts Discipline,Total Number of Students Served,Total Contact Hours Per Student,Dist.
,P.S. 015 Roberto Clemente,01M015,"PK,0K,01,02,03,04,05,SE",Elementary,Irene Sanchez,Rosemary Camera,Third Street Music Settlement,Music,,,
,P.S. 019 Asher Levy,01M019,"PK,0K,01,02,03,04,05,SE",Elementary,Jacqueline Flanagan,Jacqueline Flanagan,Rosie's Theatre Kids,Music,,,
,P.S. 020 Anna Silver,01M020,"PK,0K,01,02,03,04,05,SE",Elementary,Sarah Pinto Viagran,Ronnie Filippatos,Anja Dance Company,Dance,,,
,P.S. 020 Anna Silver,01M020,"PK,0K,01,02,03,04,05,SE",Elementary,Sarah Pinto Viagran,Ronnie Filippatos,National Dance Institute,Dance,,,
,P.S. 020 Anna Silver,01M020,"PK,0K,01,02,03,04,05,SE",Elementary,Sarah Pinto Viagran,Ronnie Filippatos,Rosie's Theatre Kids,Dance,,,
,P.S. 020 Anna Silver,01M020,"PK,0K,01,02,03,04,05,SE",Elementary,Sarah Pinto Viagran,Ronnie Filippatos,Turtle Bay Music School,Music,,,
,P.S. 034 Franklin D. Roosevelt,01M034,"PK,0K,01,02,03,04,05,06,07,08,SE",PreK-8,Angeliki Loukatos,Angeliki Loukatos,Education Through Music (ETM),Music,,,
,P.S. 064 Robert Simon,01M064,"PK,0K,01,02,03,04,05,SE",Elementary,Marlon L. Hosang,Aron Michlin,Dancing Classroom American Ballroom,Dance,,,
,P.S. 064 Robert Simon,01M064,"PK,0K,01,02,03,04,05,SE",Elementary,Marlon L. Hosang,Aron Michlin,New York City Ballet,Dance,,,
,P.S. 064 Robert Simon,01M064,"PK,0K,01,02,03,04,05,SE",Elementary,Marlon L. Hosang,Aron Michlin,New York Junior league,Visual Arts,,,
,P.S. 064 Robert Simon,01M064,"PK,0K,01,02,03,04,05,SE",Elementary,Marlon L. Hosang,Aron Michlin,Rosie's Theatre Kids,Theater,,,
,P.S. 110 Florence Nightingale,01M110,"PK,0K,01,02,03,04,05,SE",Elementary,Karen Feuer,N/A,Chess,Other,,,
,P.S. 110 Florence Nightingale,01M110,"PK,0K,01,02,03,04,05,SE",Elementary,Karen Feuer,N/A,National Dance Institute,Dance,,,
,P.S. 110 Florence Nightingale,01M110,"PK,0K,01,02,03,04,05,SE",Elementary,Karen Feuer,N/A,New-York Historical Society,Visual Arts,,,
,P.S. 110 Florence Nightingale,01M110,"PK,0K,01,02,03,04,05,SE",Elementary,Karen Feuer,N/A,Paul Taylor's American Modern Dance Theatre,Dance,,,
,P.S. 110 Florence Nightingale,01M110,"PK,0K,01,02,03,04,05,SE",Elementary,Karen Feuer,N/A,Take Two,Film/Media,,,
,P.S. 110 Florence Nightingale,01M110,"PK,0K,01,02,03,04,05,SE",Elementary,Karen Feuer,N/A,Third Street Music School Settlement,Music,,,
,P.S. 134 Henrietta Szold,01M134,"PK,0K,01,02,03,04,05,SE",Elementary,Daniel Kim,Daniel Kim,Studio in a School Association,Visual Arts,,,
,P.S. 140 Nathan Straus,01M140,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary,Melissa Rodriguez,Melissa Rodriguez,Artists Space Inc.,Visual Arts,,,
,P.S. 140 Nathan Straus,01M140,"PK,0K,01,02,03,04,05,06,07,08,SE",PreK-8,Melissa Rodriguez,Melissa Rodriguez,Artists Space Inc.,Other,,,
,P.S. 140 Nathan Straus,01M140,"PK,0K,01,02,03,04,05,06,07,08,SE",PreK-8,Melissa Rodriguez,Melissa Rodriguez,Mark DeGarmo and Dancers / Dynamic Forms,Dance,,,
,P.S. 140 Nathan Straus,01M140,"PK,0K,01,02,03,04,05,06,07,08,SE",PreK-8,Melissa Rodriguez,Melissa Rodriguez,Mark DeGarmo and Dancers / Dynamic Forms,Dance,,,
,P.S. 140 Nathan Straus,01M140,"PK,0K,01,02,03,04,05,06,07,08,SE",PreK-8,Melissa Rodriguez,Melissa Rodriguez,Mark DeGarmo and Dancers / Dynamic Forms,Dance,,,
,P.S. 140 Nathan Straus,01M140,"PK,0K,01,02,03,04,05,06,07,08,SE",PreK-8,Melissa Rodriguez,Melissa Rodriguez,Marquis Studios,Dance,,,
,P.S. 140 Nathan Straus,01M140,"PK,0K,01,02,03,04,05,06,07,08,SE",PreK-8,Melissa Rodriguez,Melissa Rodriguez,Marquis Studios,Other,,,
,P.S. 140 Nathan Straus,01M140,"PK,0K,01,02,03,04,05,06,07,08,SE",PreK-8,Melissa Rodriguez,Melissa Rodriguez,Rosie's Theatre Kids,Theater,,,
,P.S. 142 Amalia Castro,01M142,"PK,0K,01,02,03,04,05,SE",Elementary,Daphna Gutman,Christine Mccue,Ballet Hispanico of New York,Dance,,--,
,P.S. 142 Amalia Castro,01M142,"PK,0K,01,02,03,04,05,SE",Elementary,Daphna Gutman,Christine Mccue,Broadway Playhouse,Music,,--,
,P.S. 142 Amalia Castro,01M142,"PK,0K,01,02,03,04,05,SE",Elementary,Daphna Gutman,Christine Mccue,"Education Through Music, Inc.",Music,,,
,P.S. 142 Amalia Castro,01M142,"PK,0K,01,02,03,04,05,SE",Elementary,Daphna Gutman,Christine Mccue,Rosie's Theatre Kids,Theater,,,
,P.S. 142 Amalia Castro,01M142,"PK,0K,01,02,03,04,05,SE",Elementary,Daphna Gutman,Christine Mccue,Story Pirates,Theater,,,
,P.S. 142 Amalia Castro,01M142,"PK,0K,01,02,03,04,05,SE",Elementary,Daphna Gutman,Christine Mccue,Studio in a School Association,Visual Arts,,,
,P.S. 184 Shuang Wen,01M184,"PK,0K,01,02,03,04,05,06,07,08,SE",PreK-8,Iris Chiu,N/A,"Arts Horizons, Inc.",Theater,,,
,P.S. 188 The Island School,01M188,"PK,0K,01,02,03,04,05,06,07,08,SE",PreK-8,Suany Ramos,Alice Schiller,Disney Theatrical,Theater,,,
,P.S. 188 The Island School,01M188,"PK,0K,01,02,03,04,05,06,07,08,SE",PreK-8,Suany Ramos,Alice Schiller,Disney Theatrical,Dance,,,
,P.S. 188 The Island School,01M188,"PK,0K,01,02,03,04,05,06,07,08,SE",PreK-8,Suany Ramos,Alice Schiller,Disney Theatrical,Music,,,
,P.S. 188 The Island School,01M188,"PK,0K,01,02,03,04,05,06,07,08,SE",PreK-8,Suany Ramos,Alice Schiller,Disney Theatrical,Theater,,,
,P.S. 188 The Island School,01M188,"PK,0K,01,02,03,04,05,06,07,08,SE",PreK-8,Suany Ramos,Alice Schiller,Learning Through an Expanded Arts Program (LEAP),Theater,,,
,P.S. 188 The Island School,01M188,"PK,0K,01,02,03,04,05,06,07,08,SE",PreK-8,Suany Ramos,Alice Schiller,Learning Through an Expanded Arts Program (LEAP),Theater,,,
,P.S. 188 The Island School,01M188,"PK,0K,01,02,03,04,05,06,07,08,SE",PreK-8,Suany Ramos,Alice Schiller,Marquis Studios,Theater,,,
,P.S. 188 The Island School,01M188,"PK,0K,01,02,03,04,05,06,07,08,SE",PreK-8,Suany Ramos,Alice Schiller,Marquis Studios,Visual Arts,,,
,P.S. 188 The Island School,01M188,"PK,0K,01,02,03,04,05,06,07,08,SE",PreK-8,Suany Ramos,Alice Schiller,Marquis Studios,Theater,,,
,P.S. 188 The Island School,01M188,"PK,0K,01,02,03,04,05,06,07,08,SE",PreK-8,Suany Ramos,Alice Schiller,Marquis Studios,Visual Arts,,,
,P.S. 188 The Island School,01M188,"PK,0K,01,02,03,04,05,06,07,08,SE",PreK-8,Suany Ramos,Alice Schiller,Rosie's Theatre Kids,Dance,,,
,P.S. 188 The Island School,01M188,"PK,0K,01,02,03,04,05,06,07,08,SE",PreK-8,Suany Ramos,Alice Schiller,Rosie's Theatre Kids,Music,,,
,P.S. 188 The Island School,01M188,"PK,0K,01,02,03,04,05,06,07,08,SE",PreK-8,Suany Ramos,Alice Schiller,Rosie's Theatre Kids,Theater,,,
,P.S. 188 The Island School,01M188,"PK,0K,01,02,03,04,05,06,07,08,SE",PreK-8,Suany Ramos,Alice Schiller,Snug Harbor Cultural Center & Botanical Garden,Visual Arts,,,
,P.S. 188 The Island School,01M188,"PK,0K,01,02,03,04,05,06,07,08,SE",PreK-8,Suany Ramos,Alice Schiller,"Society of the Educational Arts, Inc. (SEA)",Theater,,,
,School for Global Leaders,01M378,"06,07,08,SE",Middle School,Keri Ricks,Cheryl Campos,Lincoln Center Theatre,Theater,,,
,The Children's Workshop School,01M361,"PK,0K,01,02,03,04,05,SE",Pre-K - Elementary,Maria Velez Clarke,Gary Morston,Dance Makers Movement,Dance,,,
,The Children's Workshop School,01M361,"PK,0K,01,02,03,04,05,SE",Pre-K - Elementary,Maria Velez Clarke,Gary Morston,Turtle Bay Music School,Music,,,
,The East Village Community School,01M315,"PK,0K,01,02,03,04,05,SE",Pre-K - Elementary,Bradley Goodman,Margaret Monaco,Abrons Arts Center,Visual Arts,,,
,The East Village Community School,01M315,"PK,0K,01,02,03,04,05,SE",Pre-K - Elementary,Bradley Goodman,Margaret Monaco,Alvin Ailey Dance Foundation,Dance,,,
,The East Village Community School,01M315,"PK,0K,01,02,03,04,05,SE",Pre-K - Elementary,Bradley Goodman,Margaret Monaco,Carnegie Hall Corporation,Music,,,
,The East Village Community School,01M315,"PK,0K,01,02,03,04,05,SE",Pre-K - Elementary,Bradley Goodman,Margaret Monaco,Dancing Classroom American Ballroom,Dance,,,
,The East Village Community School,01M315,"PK,0K,01,02,03,04,05,SE",Pre-K - Elementary,Bradley Goodman,Margaret Monaco,Lincoln Center Education,Music,,,
,The East Village Community School,01M315,"PK,0K,01,02,03,04,05,SE",Pre-K - Elementary,Bradley Goodman,Margaret Monaco,Materials for the Arts,Visual Arts,,,
,The East Village Community School,01M315,"PK,0K,01,02,03,04,05,SE",Pre-K - Elementary,Bradley Goodman,Margaret Monaco,Movement Research,Dance,,,
,The East Village Community School,01M315,"PK,0K,01,02,03,04,05,SE",Pre-K - Elementary,Bradley Goodman,Margaret Monaco,New Victory Theatre,Dance,,,
,The East Village Community School,01M315,"PK,0K,01,02,03,04,05,SE",Pre-K - Elementary,Bradley Goodman,Margaret Monaco,Notes in Motion,Dance,,,
,The East Village Community School,01M315,"PK,0K,01,02,03,04,05,SE",Pre-K - Elementary,Bradley Goodman,Margaret Monaco,South Street Seaport Museum,Visual Arts,,,
,The East Village Community School,01M315,"PK,0K,01,02,03,04,05,SE",Pre-K - Elementary,Bradley Goodman,Margaret Monaco,Third Street Music School,Music,,,
,Tompkins Square Middle School,01M839,"06,07,08,SE",Middle School,Sonhando Estwick,Lisa Lackey,3rd Street Music,Music,,,
,Tompkins Square Middle School,01M839,"06,07,08,SE",Middle School,Sonhando Estwick,Lisa Lackey,Theatre Development Fund,Theater,,,
,The STAR Academy - P.S.63,01M063,"PK,0K,01,02,03,04,05,SE",Pre-K - Elementary,Darlene Cameron,Jodi Friedman,Notes in Motion,Dance,,,
,The STAR Academy – P.S.63,01M063,"PK,0K,01,02,03,04,05,SE",Pre-K - Elementary,Darlene Cameron,Jodi Friedman,Young Storytellers (Script to Stage),Theater,,,
,The STAR Academy – P.S.63,01M063,"PK,0K,01,02,03,04,05,SE",Pre-K - Elementary,Darlene Cameron,Jodi Friedman,"Society of the Educational Arts, Inc. (SEA)",Theater,,,
,The STAR Academy – P.S.63,01M063,"PK,0K,01,02,03,04,05,SE",Pre-K - Elementary,Darlene Cameron,Jodi Friedman,Music and the Brain,Music,,,
,University Neighborhood Middle School,01M332,"06,07,08,SE",Middle School,Laura Peynado Castro,,No Arts Report Available,,,,
,University Neighborhood High School,01M448,"09,10,11,12,SE",High School,Elizabeth Collins,Ariel Asch,Abrons Arts Center,Dance,,,
,University Neighborhood High School,01M448,"09,10,11,12,SE",High School,Elizabeth Collins,Ariel Asch,Abrons Arts Center,Music,,,
,University Neighborhood High School,01M448,"09,10,11,12,SE",High School,Elizabeth Collins,Ariel Asch,Abrons Arts Center,Visual Arts,,,
,University Neighborhood High School,01M448,"09,10,11,12,SE",High School,Elizabeth Collins,Ariel Asch,Afro Brazil Arts,Dance,,,
,University Neighborhood High School,01M448,"09,10,11,12,SE",High School,Elizabeth Collins,Ariel Asch,City Center,Dance,,,
,47 The American Sign Language and English Secondary School,02M047,"09,10,11,12,SE",High School,Watfa Shama,Elizabeth Khourouzian,None,,,,2.0
,Academy for Software Engineering,02M546,"PK,0K,01,02,03,04,05,SE",High School,Shawn Raeke,Shawn Raeke,Little Kids Rock,,,,2.0
,Art and Design High School,02M630,"09,10,11,12,SE",High School,Manuel Urena,Elma Reingold,American Museum of Natural History,Other,,,2.0
,Art and Design High School,02M630,"09,10,11,12,SE",High School,Manuel Urena,Elma Reingold,Apollo Theater,Film/Media,,,2.0
,Art and Design High School,02M630,"09,10,11,12,SE",High School,Manuel Urena,Elma Reingold,Brooklyn Museum,Visual Arts,,,2.0
,Art and Design High School,02M630,"09,10,11,12,SE",High School,Manuel Urena,Elma Reingold,Center for Architecture,Visual Arts,--,,2.0
,Art and Design High School,02M630,"09,10,11,12,SE",High School,Manuel Urena,Elma Reingold,COMICON,Visual Arts,,,2.0
,Art and Design High School,02M630,"09,10,11,12,SE",High School,Manuel Urena,Elma Reingold,Cooper Hewitt Museum,Visual Arts,,,2.0
,Art and Design High School,02M630,"09,10,11,12,SE",High School,Manuel Urena,Elma Reingold,Fashion Institute of Technology,Visual Arts,,,2.0
,Art and Design High School,02M630,"09,10,11,12,SE",High School,Manuel Urena,Elma Reingold,"Frick Collection, The",Visual Arts,,,2.0
,Art and Design High School,02M630,"09,10,11,12,SE",High School,Manuel Urena,Elma Reingold,Frieze Art Fair,Visual Arts,,,2.0
,Art and Design High School,02M630,"09,10,11,12,SE",High School,Manuel Urena,Elma Reingold,Manhattan Graphic center,Visual Arts,,,2.0
,Art and Design High School,02M630,"09,10,11,12,SE",High School,Manuel Urena,Elma Reingold,"Metropolitan Museum of Art, The",Visual Arts,,,2.0
,Art and Design High School,02M630,"09,10,11,12,SE",High School,Manuel Urena,Elma Reingold,Mocca Fest,Visual Arts,,,2.0
,Art and Design High School,02M630,"09,10,11,12,SE",High School,Manuel Urena,Elma Reingold,Museum of Arts & Design,Visual Arts,,,2.0
,Art and Design High School,02M630,"09,10,11,12,SE",High School,Manuel Urena,Elma Reingold,Museum of Modern Art,Visual Arts,,,2.0
,Art and Design High School,02M630,"09,10,11,12,SE",High School,Manuel Urena,Elma Reingold,Museum of the City of New York,Visual Arts,,,2.0
,Art and Design High School,02M630,"09,10,11,12,SE",High School,Manuel Urena,Elma Reingold,Museum of the Moving Image,Film/Media,,,2.0
,Art and Design High School,02M630,"09,10,11,12,SE",High School,Manuel Urena,Elma Reingold,New-York Historical Society,Visual Arts,--,,2.0
,Art and Design High School,02M630,"09,10,11,12,SE",High School,Manuel Urena,Elma Reingold,NY Public Library Prints,--,,,2.0
,Art and Design High School,02M630,"09,10,11,12,SE",High School,Manuel Urena,Elma Reingold,Photoville,Visual Arts,,,2.0
,Art and Design High School,02M630,"09,10,11,12,SE",High School,Manuel Urena,Elma Reingold,Photoville,Visual Arts,--,,2.0
,Art and Design High School,02M630,"09,10,11,12,SE",High School,Manuel Urena,Elma Reingold,Queens Botanical Gardens,Visual Arts,,,2.0
,Art and Design High School,02M630,"09,10,11,12,SE",High School,Manuel Urena,Elma Reingold,Roundabout Theatre Company,Visual Arts,,,2.0
,Art and Design High School,02M630,"09,10,11,12,SE",High School,Manuel Urena,Elma Reingold,Roundabout Theatre Company,Visual Arts,,,2.0
,Art and Design High School,02M630,"09,10,11,12,SE",High School,Manuel Urena,Elma Reingold,Studio in a School Association,Visual Arts,,,2.0
,Art and Design High School,02M630,"09,10,11,12,SE",High School,Manuel Urena,Elma Reingold,Whitney Museum of American Art,Visual Arts,,,2.0
,"Ballet Tech, NYC Public School for Dance",02M442,"04,05,06,07,08",Elementary and Middle School,Roy Oneill,Roy Oneill,Ballet Tech Foundation,Dance,,,2.0
,Baruch College Campus High School,02M411,"09,10,11,12,SE",High School,Alicia Perez Katz,Danielle Mcdonald,Manhattan Class Company,Theater,,,2.0
,Battery Park City School,02M276,"0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Theresa RuyterArts,Julie Smith,Anne Frank Center for Mutual Respect,Theater,,,2.0
,Battery Park City School,02M276,"0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Theresa Ruyter,Julie Smith,Classic Stage Company,Theater,,,2.0
,Battery Park City School,02M276,"0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Theresa Ruyter,Julie Smith,Creative Arts Team,Theater,,,2.0
,Battery Park City School,02M276,"0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Theresa Ruyter,Julie Smith,Jazz at Lincoln Center,Music,,,2.0
,Battery Park City School,02M276,"0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Theresa Ruyter,Julie Smith,Kids Empowerment,Theater,,,2.0
,Battery Park City School,02M276,"0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Theresa Ruyter,Julie Smith,Lincoln Center Education,Theater,,,2.0
,Battery Park City School,02M276,"0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Theresa Ruyter,Julie Smith,Lincoln Center Education,Theater,,,2.0
,Battery Park City School,02M276,"0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Theresa Ruyter,Julie Smith,New York City Kids Project,Other,,,2.0
,Business Of Sports School,02M393,"09,10,11,12,SE",High School,Joshua Solomon,Jillian Syrakowski,None,,,,2.0
,Chelsea Career and Technical Education High School,02M615,"09,10,11,12,SE",High School,Jaivelle Reed,Shaharizan Perez,Epic Theatre Center,Theater,,,2.0
,City Knoll Middle School,02M933,"06,07,08,SE",Middle School,Kaye Kerr,Jessica Fass,Museum of Modern Art,Visual Arts,,,2.0
,"East Side Elementary School, PS 267",02M267,"0K,01,02,03,04,05,SE",Elementary School,Medea Mcevoy,Medea Mcevoy,"Metropolitan Museum of Art, The",Visual Arts,,,2.0
,"East Side Elementary School, PS 267",02M267,"0K,01,02,03,04,05,SE",Elementary School,Medea Mcevoy,Medea Mcevoy,Museum of Modern Art,Visual Arts,,,2.0
,"East Side Elementary School, PS 267",02M267,"0K,01,02,03,04,05,SE",Elementary School,Medea Mcevoy,Medea Mcevoy,"The Whitney Museum, The",Visual Arts,,,2.0
,"East Side Elementary School, PS 267",02M267,"0K,01,02,03,04,05,SE",Elementary School,Medea Mcevoy,Medea Mcevoy,Turtle Bay Music School,Music,,,2.0
,East Side Middle School,02M114,"06,07,08,SE",Middle School,David Getz,Lori Mcdermott,Classic Stage Co,Theater,,,2.0
,Eleanor Roosevelt High School,02M416,"09,10,11,12,SE",High School,Dimitri Saliani,Rebecca Bennett,DOE Office of Arts and Special Projects,Visual Arts,,,2.0
,Eleanor Roosevelt High School,02M416,"09,10,11,12,SE",High School,Dimitri Saliani,Rebecca Bennett,92nd Street YMCA,Music,,,2.0
,Eleanor Roosevelt High School,02M416,"09,10,11,12,SE",High School,Dimitri Saliani,Rebecca Bennett,Carnegie Hall Corporation,Music,,--,2.0
,Eleanor Roosevelt High School,02M416,"09,10,11,12,SE",High School,Dimitri Saliani,Rebecca Bennett,Central Park Conservancy,Visual Arts,,,2.0
,Eleanor Roosevelt High School,02M416,"09,10,11,12,SE",High School,Dimitri Saliani,Rebecca Bennett,Classic Stage Company,Theater,,,2.0
,Eleanor Roosevelt High School,02M416,"09,10,11,12,SE",High School,Dimitri Saliani,Rebecca Bennett,"Frick Collection, The",Visual Arts,,,2.0
,Eleanor Roosevelt High School,02M416,"09,10,11,12,SE",High School,Dimitri Saliani,Rebecca Bennett,"Frick Collection, The",Visual Arts,,,2.0
,Eleanor Roosevelt High School,02M416,"09,10,11,12,SE",High School,Dimitri Saliani,Rebecca Bennett,"Metropolitan Museum of Art, The",Visual Arts,,,2.0
,Eleanor Roosevelt High School,02M416,"09,10,11,12,SE",High School,Dimitri Saliani,Rebecca Bennett,"Morgan Library, The",Visual Arts,,,2.0
,Eleanor Roosevelt High School,02M416,"09,10,11,12,SE",High School,Dimitri Saliani,Rebecca Bennett,Mouse,Visual Arts,,,2.0
,Eleanor Roosevelt High School,02M416,"09,10,11,12,SE",High School,Dimitri Saliani,Rebecca Bennett,Museum of Modern Art,Visual Arts,,,2.0
,Eleanor Roosevelt High School,02M416,"09,10,11,12,SE",High School,Dimitri Saliani,Rebecca Bennett,Museum of the Moving Image,Visual Arts,,,2.0
,Eleanor Roosevelt High School,02M416,"09,10,11,12,SE",High School,Dimitri Saliani,Rebecca Bennett,NY Shakespeare Exchange,Theater,,,2.0
,Eleanor Roosevelt High School,02M416,"09,10,11,12,SE",High School,Dimitri Saliani,Rebecca Bennett,Whitney Museum of American Art,Visual Arts,,,2.0
,Eleanor Roosevelt High School,02M416,"09,10,11,12,SE",High School,Dimitri Saliani,Rebecca Bennett,Whitney Museum of American Art,Visual Arts,,,2.0
,Ella Baker School,02M225,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Joshua Satin,Betsy Schneck,Ballet Tech Foundation,Dance,,,2.0
,Emma Lazarus High School,02M394,"09,10,11,12",High School,Melody Kellogg,Joel Heckethorn,American Museum of Natural History,Other,,,2.0
,Emma Lazarus High School,02M394,"09,10,11,12",High School,Melody Kellogg,Joel Heckethorn,Blue Man Group,Theater,,,2.0
,Emma Lazarus High School,02M394,"09,10,11,12",High School,Melody Kellogg,Joel Heckethorn,Children's Museum of Manhattan,Film/Media,,,2.0
,Emma Lazarus High School,02M394,"09,10,11,12",High School,Melody Kellogg,Joel Heckethorn,"HAI Hospital Audience, Inc.",Theater,,,2.0
,Emma Lazarus High School,02M394,"09,10,11,12",High School,Melody Kellogg,Joel Heckethorn,Hamilton,Theater,,,2.0
,Emma Lazarus High School,02M394,"09,10,11,12",High School,Melody Kellogg,Joel Heckethorn,Lincoln Center Education,Theater,,,2.0
,Emma Lazarus High School,02M394,"09,10,11,12",High School,Melody Kellogg,Joel Heckethorn,Lincoln Center Theatre,Theater,,,2.0
,Emma Lazarus High School,02M394,"09,10,11,12",High School,Melody Kellogg,Joel Heckethorn,"Metropolitan Museum of Art, The",Visual Arts,,,2.0
,Emma Lazarus High School,02M394,"09,10,11,12",High School,Melody Kellogg,Joel Heckethorn,New York City Horticultural Society,Other,,,2.0
,Emma Lazarus High School,02M394,"09,10,11,12",High School,Melody Kellogg,Joel Heckethorn,St. John Divine Cathedral,Visual Arts,,,2.0
,Emma Lazarus High School,02M394,"09,10,11,12",High School,Melody Kellogg,Joel Heckethorn,TADA! Theatre and Dance Alliance,Theater,,,2.0
,Essex Street Academy,02M294,"09,10,11,12,SE",High School,Wallace Simpson,Denise Petrillo,Materials for the Arts,Visual Arts,,--,2.0
,Essex Street Academy,02M294,"09,10,11,12,SE",High School,Wallace Simpson,Denise Petrillo,Teatro SEA,Theater,,,2.0
